index,signal,label
1,1.684570 1.789551 1.870728 1.822815 1.657715 1.463318 1.366577 1.389465 1.490479,1
2,1.628418 1.712952 1.778870 1.813049 1.747437 1.608276 1.455994 1.416321 1.436768 1.509705,1
3,1.656799 1.815491 2.279358 3.175659 3.630066 3.357544 2.019653 0.335999 -0.608826 -0.704651 0.222168 1.096802 1.503601,1
4,1.652527 1.817627 2.530212 3.984985 4.496765 3.178101 0.793762 -1.113892 -1.286011 0.028381 1.164856,1
5,1.667786 1.743164 1.861267 1.871948 1.712952 1.499939 1.363220 1.392212 1.522217,1
6,1.664124 1.837769 1.931763 1.812744 1.568604 1.358337 1.313477 1.430054,1
7,1.676025 1.793518 1.838074 1.806641 1.783752 1.739807 1.656494 1.547546 1.446228 1.418762 1.404114 1.384888 1.449890 1.535034,1
8,1.648865 1.831055 2.534790 4.302063 5.719910 5.135193 2.307739 -0.862427 -2.658081 -2.342529 -0.360718 1.025391 1.514282,1
9,1.629639 1.713257 1.953735 2.223511 2.129517 1.679077 1.193542 1.005859 1.179810,1
10,1.660767 1.788025 1.871643 1.785278 1.562500 1.388245 1.380920 1.506958,1
11,1.678772 1.716003 1.818848 1.870117 1.870117 1.785583 1.606445 1.406250 1.359253 1.343079 1.451416,1
12,1.664734 1.881714 2.612610 3.941956 4.232788 3.019104 0.820618 -0.873718 -1.123657 -0.047302 1.066895 1.516418,1
13,1.691589 1.892090 2.044067 1.975403 1.619873 1.262817 1.170349 1.335144 1.533508,1
14,1.679687 1.885071 2.409668 3.426514 4.238586 4.357605 3.559875 2.013550 0.298767 -1.040039 -1.337280 -0.871582 0.152588 0.923462 1.339722 1.536560,1
15,1.644592 1.694946 2.057495 3.179016 4.969177 5.344849 3.908081 0.953674 -1.784058 -2.501526 -1.543884 0.278931 1.249390,1
16,1.683655 1.759033 2.062073 2.785950 4.376831 5.904236 6.332703 5.643616 3.324280 0.476685 -2.350159 -3.492432 -3.305664 -2.067261 -0.237122 0.934448 1.484680,1
17,1.656494 1.797180 2.280579 3.410645 5.048523 5.866699 5.468140 3.467407 0.797119 -1.774292 -2.904053 -2.629089 -1.201477 0.375061 1.248474,1
18,1.669922 1.717529 1.802673 1.826782 1.799622 1.718750 1.597595 1.472778 1.431885 1.436157 1.507874,1
19,1.661987 1.710815 1.817017 1.822205 1.817627 1.791687 1.686096 1.545105 1.435547 1.431885 1.422119 1.483459,1
20,1.678162 1.845398 1.978760 1.908569 1.611938 1.321106 1.240845 1.378784 1.548767,1
21,1.674805 1.777649 1.978760 2.072144 1.896362 1.520386 1.172485 1.084900 1.235657 1.463318,1
22,1.682739 1.775208 1.854858 1.849670 1.709290 1.521912 1.419067 1.402283 1.505127,1
23,1.637573 1.712036 1.852417 1.899719 1.752930 1.494446 1.326294 1.308594 1.450806,1
24,1.658936 1.700439 1.748047 1.794739 1.814575 1.805115 1.735229 1.629028 1.537781 1.462402 1.428833 1.424866 1.460266 1.524963,1
25,1.629333 1.744690 1.819458 1.805420 1.674805 1.516113 1.437073 1.448059 1.542969,1
26,1.691589 1.781616 2.169189 2.916565 3.114014 2.324219 1.035461 0.110779 0.122375 0.848389 1.424255,1
27,1.660156 1.744385 2.067871 2.891541 4.385376 5.238037 4.963989 3.532715 1.275635 -1.027527 -2.305908 -2.367859 -1.208191 0.252075 1.131592 1.514587,1
28,1.663208 1.717834 1.875916 1.935120 1.858521 1.596680 1.358337 1.301270 1.381836 1.531982,1
29,1.668091 1.737976 1.857300 1.847229 1.670532 1.475830 1.398010 1.467285,1
30,1.626282 1.694031 1.849365 1.961365 1.876526 1.620789 1.355286 1.271362 1.375732 1.537170,1
31,1.632385 1.696167 1.864319 1.920166 1.807861 1.550903 1.326599 1.314087 1.463318,1
32,1.659546 1.715698 1.838074 1.860046 1.721802 1.511841 1.397400 1.428833,1
33,1.617737 1.696472 1.951599 2.313538 2.298279 1.798096 1.179810 0.887451 1.059570 1.420288,1
34,1.663513 1.728516 2.049866 2.988586 3.797607 3.504028 1.923218 0.066528 -0.772705 -0.409851 0.927734 2.210083 3.198853 3.211060 2.095642 0.655518 -0.180054 0.021057 0.876770 1.416931,1
35,1.669617 1.791077 1.817322 1.710510 1.549377 1.426086 1.401367 1.490479,1
36,1.670532 1.761780 1.819763 1.752319 1.600342 1.457520 1.415405 1.481018,1
37,1.666870 1.713257 1.773376 1.874390 2.059631 2.150574 2.086182 1.940002 1.679077 1.340942 1.106262 1.026306 1.075134 1.280518 1.473694,1
38,1.656189 1.773376 2.120667 2.860718 4.009399 4.656372 4.682922 3.740234 1.945496 0.001831 -1.596069 -1.867676 -1.442261 -0.336304 0.729980 1.337891,1
39,1.614990 1.696777 2.024231 2.837830 4.186401 5.106812 4.992371 3.513794 1.305542 -0.874634 -2.062683 -1.976318 -0.852661 0.497437 1.267395 1.544495,1
40,1.690063 1.856689 2.111511 2.220154 2.023315 1.615295 1.186523 0.984497 1.084290 1.360779 1.550293,1
41,1.659546 1.776123 2.113037 2.371826 2.268677 1.721191 1.093750 0.814819 0.937195 1.323242,1
42,1.648865 1.805725 2.242432 3.183899 4.227295 4.597168 4.058228 2.554016 0.794678 -0.869446 -1.569519 -1.348572 -0.365906 0.708008 1.313477,1
43,1.648254 1.702881 1.788330 1.841736 1.821594 1.698914 1.539307 1.345520 1.300659 1.383057 1.517944,1
44,1.671753 1.789856 1.852112 1.775513 1.575928 1.401367 1.368713 1.488342,1
45,1.658936 1.756287 1.879272 1.890259 1.876221 1.707153 1.513367 1.371155 1.337585 1.331482 1.456604 1.536560,1
46,1.650391 1.853333 2.518616 3.322449 3.330994 2.232971 0.698853 -0.218506 -0.148315 0.734863 1.366272,1
47,1.693420 1.757812 1.829834 1.809692 1.768188 1.642761 1.483154 1.411438 1.411133 1.449585 1.550598,1
48,1.665344 1.740723 2.061462 3.010864 3.846741 3.572693 2.053223 0.216675 -0.775757 -0.504761 0.582275 1.302795,1
49,1.682434 1.800842 1.975098 1.946106 1.869812 1.671448 1.428223 1.259460 1.240845 1.209717 1.295776 1.457825 1.546021,1
50,1.675110 1.743774 1.865234 1.901245 1.806946 1.596375 1.387024 1.333923 1.404114 1.540833,1
51,1.690674 1.776733 1.963806 2.249756 2.541809 2.740784 2.701416 2.321777 1.751099 1.163940 0.700378 0.501099 0.534973 0.782471 1.126404 1.407471 1.549988,1
52,1.631775 1.709900 2.055054 3.020630 4.633179 5.205994 4.133301 1.415405 -1.174622 -2.104187 -1.589661 0.094299 1.174927,1
53,1.663818 1.719360 1.896973 1.976318 1.995850 1.835022 1.547852 1.265259 1.219788 1.205444 1.395264 1.531677,1
54,1.649170 1.708984 1.833496 1.882324 1.897583 1.788025 1.600952 1.394348 1.333923 1.347961 1.438599 1.548157,1
55,1.669006 1.710205 1.762390 1.809692 1.835937 1.837158 1.768799 1.698608 1.627808 1.557922 1.475220 1.421814 1.417236 1.445312 1.477966 1.527100,1
56,1.684875 1.695557 1.729431 1.833496 1.847839 1.722107 1.510620 1.361084 1.371460 1.523743,1
57,1.675110 1.793518 1.997070 2.029724 1.867065 1.535645 1.280212 1.220093 1.353455 1.512146,1
58,1.623840 1.702271 1.867065 2.044373 2.106323 1.957092 1.671448 1.369019 1.146240 1.095276 1.221619 1.408386 1.549683,1
59,1.613464 1.773376 2.418823 4.220581 7.779846 9.999695 9.999695 6.709595 0.897827 -4.660034 -7.412109 -7.335205 -4.958801 -2.170410 -0.243835 0.877686 1.475220,1
60,1.667786 1.741028 2.231140 3.735046 5.220642 5.033264 2.634888 -0.401001 -2.231445 -2.103882 -0.347595 1.067810,1
61,1.678467 1.736450 1.788940 1.814880 1.798706 1.697083 1.584473 1.448669 1.410828 1.433716 1.472168 1.542664,1
62,1.651611 1.739807 1.875000 1.954651 1.892700 1.729736 1.519470 1.332397 1.270447 1.323242 1.458435 1.550598,1
63,1.691284 1.801147 1.837158 1.780090 1.606445 1.433716 1.373291 1.427917 1.530457,1
64,1.664429 1.750488 1.859436 1.881714 1.766052 1.552734 1.380615 1.331482 1.411438 1.544800,1
65,1.661682 1.719666 1.816711 1.927490 1.932068 1.845703 1.687622 1.511536 1.382751 1.331787 1.373291 1.461792 1.546021,1
66,1.555481 1.391296 1.375732 1.510620 1.697998 1.861572 1.910706 1.788025 1.566772 1.358948 1.300354 1.400146 1.530151,1
67,1.626587 1.784668 2.466125 3.929443 5.336304 5.390015 3.621216 0.606384 -1.982727 -2.876892 -2.015991 -0.082092 1.116943,1
68,1.668701 1.757812 2.005920 2.280273 2.301941 2.027588 1.522827 1.052246 0.869141 0.972900 1.271057 1.495972,1
69,1.641235 1.695862 1.949463 2.691650 3.525696 3.461304 2.225952 0.646667 -0.459290 -0.442505 0.505066 1.288452,1
70,1.668701 1.748047 1.864014 1.898193 1.822510 1.652832 1.460571 1.329956 1.340637 1.443176 1.549988,1
71,1.661987 1.866455 2.346191 2.479248 2.225342 1.532898 0.851440 0.684814 0.792847 1.266785 1.533203,1
72,1.666260 1.794434 2.142334 2.341309 2.201538 1.635132 1.064453 0.877075 1.016846 1.404419,1
73,1.669312 1.992187 3.033447 5.453186 6.651611 5.930786 2.395630 -1.769409 -3.926697 -3.837280 -1.430664 0.633850 1.499634 1.710205 1.719055,1
74,1.630249 1.742249 2.070007 2.789001 3.708496 4.138794 3.820190 2.590027 1.032715 -0.437012 -1.028442 -0.815125 0.028076 0.900269 1.393433,1
75,1.655579 1.701660 1.838989 1.972656 1.993408 1.851196 1.593628 1.329956 1.238403 1.290588 1.440735,1
76,1.661682 1.726685 2.041626 2.860718 3.998413 4.303589 3.876953 2.634888 0.947876 -0.531616 -1.058044 -0.178833 0.798035 1.345520,1
77,1.634827 1.727600 2.010803 2.304382 2.239685 1.809998 1.254883 0.901489 0.951233 1.285706 1.521606,1
78,1.682739 1.761780 1.879883 1.899414 1.787720 1.575012 1.382446 1.340332 1.366272 1.510925,1
79,1.671143 1.729126 1.868591 2.103271 2.143555 2.100830 1.979065 1.694336 1.358032 1.140442 1.080322 1.070557 1.235657 1.434021 1.553650,1
80,1.685486 1.758423 1.865845 1.941528 1.904297 1.872253 1.807861 1.691895 1.559448 1.411133 1.288147 1.253967 1.251831 1.283264 1.363831 1.472473,1
81,1.672058 1.781311 1.937866 1.949158 1.921692 1.673279 1.397705 1.248779 1.234436 1.299744 1.541748 1.726074 1.774902,1
82,1.636963 1.698914 1.792603 1.814270 1.713867 1.561584 1.429443 1.407776 1.467590 1.553345,1
83,1.645508 1.697083 1.798401 1.849670 1.786499 1.633606 1.489258 1.405029 1.430054 1.529846,1
84,1.657410 1.766357 2.072144 2.472229 2.493286 2.068481 1.270142 0.726929 0.730591 1.078186 1.424255,1
85,1.637878 1.712952 1.876831 2.019043 1.966858 1.728210 1.416626 1.203918 1.189270 1.370544 1.537476,1
86,1.585693 1.726685 2.289734 3.286743 3.735352 3.035583 1.559448 0.069580 -0.597839 -0.222168 0.734253 1.351013,1
87,1.665039 1.697083 1.789246 2.035522 2.137756 1.958008 1.507874 1.112366 1.016541 1.220093 1.478271,1
88,1.619263 1.703796 2.020874 2.760315 4.031067 4.969177 5.126953 4.259033 2.396545 0.340881 -1.500854 -2.156677 -1.893311 -0.851746 0.405273 1.172791 1.521606,1
89,1.681213 1.755981 1.816406 1.807251 1.734619 1.637573 1.533508 1.441956 1.390686 1.413574 1.500854,1
90,1.664429 1.780396 1.912231 1.884155 1.695557 1.449890 1.322632 1.394348 1.533813,1
91,1.665344 1.744385 1.860962 1.950989 1.991577 1.947021 1.824036 1.668091 1.510010 1.344910 1.249084 1.231995 1.297302 1.416016 1.521606,1
92,1.676941 1.775208 1.828003 1.809387 1.686096 1.546326 1.439819 1.421509 1.467896,1
93,1.658630 1.781006 1.949158 1.975098 1.759338 1.459045 1.274109 1.308594 1.485291,1
94,1.648865 1.738586 1.835632 1.845703 1.720886 1.528931 1.399536 1.376038 1.455078 1.554260,1
95,1.677551 1.757812 1.822815 1.820068 1.666260 1.481018 1.395874 1.396790 1.496887,1
96,1.687317 1.803894 1.980896 2.003174 1.943665 1.665649 1.375427 1.253967 1.229858 1.385498,1
97,1.658325 1.743774 1.920471 2.070007 2.013855 1.774597 1.470337 1.219788 1.170349 1.323547 1.502075,1
98,1.646118 1.709900 1.864319 2.304993 2.626343 2.582397 2.393188 1.821289 1.114502 0.636597 0.510559 0.538025 0.993652 1.353149 1.520996,1
99,1.653748 1.724243 1.923523 2.026672 1.872253 1.546326 1.249695 1.197815 1.376343,1
100,1.649170 1.772461 2.090454 2.853088 4.006653 4.543457 4.341431 3.237305 1.367187 -0.599365 -1.684875 -1.797791 -0.978394 0.292358 1.128845 1.498718,1
101,1.661377 1.736755 1.940002 2.042542 2.000732 1.739502 1.434631 1.214905 1.192017 1.307983 1.490173,1
102,1.668396 1.709290 1.785889 1.889038 1.948547 1.929932 1.845093 1.691284 1.487427 1.301270 1.206665 1.216125 1.320801 1.451111,1
103,1.641846 1.733704 1.868896 1.879272 1.856384 1.660767 1.451111 1.348877 1.341248 1.381226 1.518860,1
104,1.652222 1.772766 2.095032 2.441711 2.413940 1.950684 1.294861 0.829468 0.793457 1.159973 1.472473,1
105,1.652832 1.804504 2.251892 2.860718 2.953796 2.450562 1.403503 0.452576 0.226440 0.397034 1.079102 1.444397,1
106,1.669922 1.737976 1.859131 1.882019 1.761780 1.589355 1.453247 1.416626 1.481934,1
107,1.688843 1.855774 1.941528 1.864929 1.641235 1.415710 1.304016 1.353760 1.488037,1
108,1.643677 1.713257 1.870728 1.948853 1.827393 1.564941 1.326599 1.272888 1.398315 1.550293,1
109,1.684570 1.790161 1.900940 1.895752 1.795349 1.631775 1.485291 1.436157 1.504822,1
110,1.654663 1.719971 1.934814 2.295532 2.330322 2.265320 1.760864 1.179810 0.863342 0.821838 0.961914 1.325073 1.511230,1
111,1.658325 1.732483 2.060852 2.670288 2.982788 2.591248 1.640930 0.650330 0.163879 0.399170 1.054077 1.489563,1
112,1.639404 1.703796 1.856689 2.126160 2.219849 2.204590 1.921997 1.511536 1.099548 0.969238 1.001587 1.172791 1.401978 1.543274,1
113,1.651611 1.737671 1.851501 1.879578 1.762085 1.547852 1.356812 1.346436 1.451721,1
114,1.651306 1.700439 1.962280 2.633667 3.596191 4.093933 3.667603 2.348633 0.781250 -0.553589 -0.959778 -0.501709 0.480957 1.226807 1.547241,1
115,1.645813 1.790771 2.214966 3.056946 3.305664 2.959900 1.815491 0.495300 -0.170288 -0.187683 0.517883 1.200867 1.510315,1
116,1.656799 1.741028 1.996460 2.830200 4.157715 4.458923 3.292236 1.044312 -0.937500 -1.486816 -0.612793 0.818481 1.533203 1.747742 1.716309,1
117,1.665955 1.984253 2.609863 2.879944 2.414856 1.428833 0.494385 0.244751 0.704956 1.378479 1.762695 1.850586 1.753235,1
118,1.670837 1.744690 2.052917 2.589417 2.721863 2.177124 1.245117 0.502625 0.408020 0.876465 1.367187,1
119,1.668091 1.900635 2.788391 4.337769 4.715271 3.381348 1.178284 -0.844727 -1.358643 -0.569763 0.601807 1.327209,1
120,1.689758 1.831360 2.186584 2.476807 2.496643 2.117310 1.423645 0.728455 0.588989 0.660095 1.130981 1.436462,1
121,1.674500 1.797791 1.900024 1.853638 1.694641 1.499939 1.380005 1.406250 1.523743,1
122,1.649780 1.706238 1.824036 1.859131 1.768188 1.577148 1.431274 1.397705 1.481934,1
123,1.651001 1.721802 1.832886 1.860962 1.757812 1.580200 1.420288 1.397705 1.481628 1.553345,1
124,1.650085 1.732178 1.868896 2.255249 2.618408 2.669678 2.586670 2.023621 1.377258 0.693359 0.512085 0.560303 0.795593 1.212769 1.464844,1
125,1.630249 1.715698 1.962585 2.492676 3.369751 4.083252 4.252319 3.699036 2.486572 1.094971 -0.293579 -1.094971 -1.126709 -0.582275 0.324402 1.052856 1.457520,1
126,1.685486 1.765747 2.296448 3.796082 7.213745 9.999695 9.999695 9.999695 7.155762 -1.076660 -8.848267 -9.106445 -9.080811 -8.175354 -2.999878 -0.029297 1.239319,1
127,1.561279 1.819458 2.673035 3.641357 3.722839 2.549744 0.740356 -0.549927 -0.709534 0.123596 1.060181 1.492310,1
128,1.674194 1.771851 1.966553 2.031250 1.868286 1.535034 1.250000 1.196899 1.312256 1.509399,1
129,1.636658 1.806030 1.983032 2.029114 1.896973 1.620483 1.311340 1.148987 1.162109 1.349487 1.522217,1
130,1.686707 1.950684 2.608337 3.026733 2.823792 1.848145 0.725403 0.157776 0.236816 0.910645 1.395569,1
131,1.679993 1.828613 1.957397 1.941528 1.696167 1.408386 1.263123 1.275635 1.459961,1
132,1.649780 1.700439 1.796875 1.829834 1.736450 1.570740 1.442871 1.423035 1.519470,1
133,1.670837 1.878052 2.526855 4.030457 6.253967 7.459717 7.163086 4.704895 1.072083 -2.638855 -4.584656 -4.497986 -2.954712 -0.713196 0.779724 1.445923,1
134,1.673584 1.812744 2.335815 3.662720 5.386047 5.867310 4.343872 1.418152 -1.373901 -2.763367 -2.410889 -0.606079 0.831604 1.422424,1
135,1.629028 1.700745 1.906738 2.445984 3.576355 4.513550 4.549255 3.846130 2.285156 0.330811 -1.209412 -1.760254 -1.466980 -0.304565 0.751953 1.287537 1.511230,1
136,1.673889 1.819153 2.018127 2.059326 1.805725 1.448059 1.257324 1.250916 1.449585,1
137,1.687317 1.804504 1.846619 1.755676 1.564941 1.409607 1.392517 1.502075,1
138,1.641235 1.727295 2.036133 2.597961 3.937683 6.521606 8.385010 8.796387 7.944641 4.801025 0.815430 -3.259888 -5.778198 -5.999451 -5.228882 -2.850037 -0.526428 0.783997 1.400146,1
