index,signal,label
1,1.631470 1.805420 2.474060 2.992859 2.922363 1.745911 0.467224 0.091248 0.419312 1.118164 1.448975,1
2,1.632690 1.937256 2.968750 4.998474 5.847168 4.936523 1.954041 -1.689453 -3.439636 -2.859497 -0.729980 0.895386,1
3,1.737366 2.521057 5.200806 6.985168 5.444946 0.599670 -3.579102 -4.172974 -1.470642 0.716553 1.473999,1
4,1.634521 1.828613 2.410889 3.279419 3.614197 2.996521 1.614990 0.147095 -0.493774 -0.157166 0.776367 1.372375,1
5,1.724548 1.911011 2.095032 1.906128 1.454468 1.124573 1.170044 1.451721 1.597900 1.619873 1.611938 1.600952 1.570740 1.551819 1.538391 1.531982 1.553955 1.577148 1.594849 1.601562 1.595764 1.597900 1.582642 1.589050 1.587219 1.607361 1.607666 1.608887 1.597595 1.592407 1.609802 1.602783 1.597900 1.594849 1.611633 1.609802 1.607056 1.597290 1.615601 1.628113 1.609192 1.596680 1.593628 1.605835 1.611023 1.616516 1.610718 1.604614 1.600342 1.595459 1.591797 1.592407 1.607666 1.607056 1.600952 1.594238 1.600342 1.598816 1.603699 1.597900 1.605835 1.613159 1.625366 1.621399 1.594238 1.584167 1.593323 1.608276 1.614685 1.611938 1.621399 1.650696 1.650085 1.625366 1.587830 1.584473 1.572571 1.585083 1.575928 1.584473 1.643372 1.850586 2.037964 2.019958 1.673279 1.254578 1.103516 1.179504 1.438904,1
6,1.656494 1.806030 1.999512 2.036133 1.752319 1.351013 1.179810 1.143188 1.387024,1
7,1.681213 1.928711 2.468262 2.604675 2.179260 1.314697 0.632629 0.561218 0.943909 1.362610,1
8,1.646423 1.837158 2.842407 5.820007 8.947754 8.904724 4.082947 -2.918091 -7.081299 -6.954956 -2.969055 0.218201 1.428223 1.764221 2.108154 2.515869 2.525635 2.004089 1.192932 0.668640 0.742798 1.220398,1
9,1.646118 1.747437 2.022400 2.159729 2.098694 1.791992 1.357422 1.094971 1.035156 1.240234 1.459045,1
10,1.615601 1.767883 2.373352 3.686523 4.374084 3.670044 1.712036 -0.398865 -1.282349 -0.751343 0.541687 1.316528,1
11,1.632996 1.782837 2.023621 2.056885 1.860046 1.466675 1.147156 1.074524 1.253052 1.466675,1
12,1.647949 1.943970 2.877197 4.322815 4.852905 3.758545 1.522827 -0.721436 -1.640320 -1.192932 0.122986 1.115723,1
13,1.691895 1.919250 2.142334 2.137756 1.797485 1.330566 1.015930 1.030884 1.270752,1
14,1.615601 1.856079 2.650757 3.264160 2.894592 1.599426 0.266113 -0.094299 0.535278 1.247559,1
15,1.672058 1.761780 2.059631 2.168274 2.189636 1.933289 1.524658 1.081543 0.995483 1.026917 1.240540 1.466064,1
16,1.687927 2.207031 2.702026 2.411194 1.347046 0.520935 0.517273 1.119385,1
17,1.698914 1.880493 2.009888 2.018127 1.749268 1.405029 1.167603 1.246643 1.382141,1
18,1.691895 1.800232 2.006531 1.993408 1.950378 1.818542 1.564026 1.296692 1.192932 1.156006 1.204834 1.419373,1
19,1.644287 2.014771 2.987671 3.248901 2.373352 0.652161 -0.534058 -0.427551 0.779724 1.430969,1
20,1.719055 1.971741 2.043762 1.728516 1.288147 1.121216 1.271667,1
21,1.660461 1.876526 2.246399 2.295837 2.031555 1.510620 1.018677 0.872498 1.021423 1.269836 1.419067,1
22,1.664124 2.010498 2.835999 2.943420 1.818237 0.455017 0.098572 0.821838 1.413269,1
23,1.669922 2.068176 3.238525 5.321655 6.341858 5.497131 2.577820 -0.903931 -3.195496 -3.294983 -1.699219 0.264893 1.259766,1
24,1.709290 1.955261 2.455139 2.701111 2.656555 2.121582 1.336060 0.512085 0.288696 0.452271 0.935364 1.361389,1
25,1.696777 1.762695 1.802979 1.959229 2.052307 1.885986 1.474915 1.153259 1.153870 1.370850,1
26,1.649170 1.753540 1.974487 2.052002 1.820679 1.480713 1.244507 1.257019 1.432190,1
27,1.721191 2.080994 2.903748 3.463440 3.365784 2.326660 0.939331 -0.209961 -0.384827 0.158997 0.998535 1.452026,1
28,1.672363 1.892395 2.166748 2.109680 1.685791 1.165771 0.932007 1.112061 1.414490,1
29,1.600647 1.753540 2.197266 3.310852 4.222107 4.083252 2.968750 1.068726 -0.670166 -1.282959 -0.928955 0.316467 1.169128,1
30,1.640930 1.795959 2.343750 3.608704 4.628296 4.554749 2.944641 0.691223 -1.265564 -1.634521 -0.856628 0.509644 1.293945,1
31,1.628418 1.760254 1.984863 2.015076 1.736145 1.339111 1.170044 1.193237 1.437988,1
32,1.631470 1.770020 2.166138 2.361450 1.966553 1.280518 0.818176 0.946045 1.343994,1
33,1.638184 1.854248 2.563477 4.051819 4.927673 4.543762 2.489929 -0.023804 -1.760254 -1.793518 -0.670776 0.696411 1.368713,1
34,1.692810 2.058716 2.897644 3.068237 2.109375 0.671692 0.031128 0.382690 1.172485,1
35,1.674194 1.839294 2.374878 2.605591 2.476807 1.682739 0.834961 0.604858 0.711060 1.238708,1
36,1.614380 1.764526 2.216187 2.976074 3.298340 2.889099 1.752930 0.491638 -0.195007 -0.076904 0.624390 1.246338,1
37,1.744995 2.208252 3.438721 4.786987 5.083618 3.938904 1.632690 -0.800171 -2.030945 -1.840515 -0.505981 0.796814 1.398010,1
38,1.594543 1.879272 2.669983 4.042969 4.664612 4.099731 2.169189 -0.064697 -1.523132 -1.516113 -0.409851 0.806580 1.419983,1
39,1.739197 2.386475 4.179687 6.818848 7.850342 6.249390 2.128906 -2.528687 -5.069275 -4.800720 -2.374878 0.040283 1.228638,1
40,1.646729 1.785278 2.280884 2.502136 2.435608 1.666260 0.852051 0.644836 0.756836 1.217346 1.454773,1
