value_sequence,finalLabel
-0.003967 -0.009003 -0.011292 -0.013123 -0.011902 -0.01297 -0.009155 -0.013275 -0.009155 -0.002441 -0.006561 -0.005798 -0.008698 0.000153 -0.001068 0.00061 0.011597 0.011139 0.017548 0.02121 0.020294 0.024719 0.015869 -0.00412 -0.018463 -0.034332 -0.041504 -0.036316 -0.003357,0
0.079803 0.191498 0.314178 0.527649 1.156311 2.44873 4.499817 4.999847 4.999847 4.999847 3.951263 0.967102 -2.146149 -4.876404 -5.0 -5.0 -5.0 -3.694916 -1.919861 -0.735931 -0.250854 -0.099335 -0.054169 -0.037384 -0.022888 -0.022125 -0.018768 -0.016785 -0.014038 -0.007629 -0.001526,1
-0.010681 -0.029755 -0.045319 -0.04776 -0.050507 -0.045013 -0.033417 -0.022278 -0.022583 -0.018616 -0.0177 -0.015411 -0.006561 -0.000153 -0.004425 0.001373 -0.009155 -0.002747 -0.007477 -0.010986 -0.013275 -0.013733 -0.018158 -0.02533 -0.034485 -0.036163 -0.040588 -0.039673 -0.038147 -0.030212 -0.032654 -0.025024 -0.022278 -0.012665 -0.010223 -0.013123 -0.013123 -0.015717,0
0.0,0
-0.01709 -0.015564 -0.017853 -0.011749 -0.009918 -0.011444 -0.014343 -0.009155 -0.01358 -0.019073 -0.023651 -0.024567 -0.02533 -0.028687 -0.031738 -0.029907 -0.010681,0
-0.025177 -0.024109 -0.023041 -0.032654 -0.027313 -0.021515 -0.015717 -0.008545 0.000153 0.00473 0.000763 -0.00351 -0.01297 -0.032501 -0.039825,0
0.016632 0.221405 0.665283 1.414032 1.729736 1.737518 1.656952 0.94574 -0.060272 -1.068726 -1.889648 -1.961212 -1.916809 -1.486664 -0.562286 -1e-05,1
0.0,0
0.000916 0.00473 0.002747 0.007782 0.011292 0.002441 0.007324 0.007782 0.008392 0.012207 0.010834 0.014496 0.021362 0.021667 0.027161 0.020294 0.019531 0.018311 0.005798 0.000305 -0.00473 -0.011139 -0.006256 -0.009766 -0.006104 -0.010071 -0.007324,0
0.113678 0.113983 0.101318 0.08194 0.057373 0.046539 0.045319 0.04425 0.047607 0.055237 0.059204 0.05661 0.063171 0.07019 0.069122 0.074768 0.081024 0.087433 0.108032 0.118713 0.127716 0.122223 0.095673 0.06485 0.047607 0.037231 0.042267 0.061035 0.073395 0.086823 0.088654 0.083771 0.086517 0.073395 0.08194 0.074463 0.074463 0.070038 0.063477 0.058289 0.065765 0.083313 0.093079 0.098114 0.095367 0.08667 0.063782 0.042267 0.032654 0.024414 0.015411 0.022888 0.033569 0.050507 0.063324 0.061493 0.06073 0.058746 0.062561 0.06546 0.06073 0.066986 0.071869 0.070801,0
0.023956 0.051575 0.057831 0.054626 0.058289 0.056305 0.058136 0.058899 0.057526 0.059967 0.070038 0.075836 0.07782 0.083923 0.098724 0.119781 0.12207 0.117035 0.111237,0
0.105743 0.160828 0.332947 0.645294 0.840302 0.792236 0.610962 0.36438 0.072784 -0.213928 -0.472107 -0.648499 -0.738525 -0.744934 -0.572357 -0.304108 -0.096436,1
0.014191 0.050354 0.059204 0.063019 0.064545 0.072479 0.067749 0.063019 0.054932 0.052338 0.050049 0.058289 0.058594 0.063477 0.068207 0.065613 0.067596 0.069885 0.07309 0.075836 0.079346 0.085449 0.083008 0.074768 0.071411 0.07019 0.087433 0.100403 0.117493 0.111389 0.109558 0.092468 0.051727 0.014038 0.002747 0.007629 0.006714 0.017395 0.035095 0.057526 0.065765 0.068054 0.067291 0.066833 0.071716 0.072784 0.074158 0.075531 0.072174 0.070496 0.073853 0.083771 0.085449 0.088959 0.093994 0.082245 0.066833 0.055847,0
0.054626 0.058289 0.089569 0.194244 0.426331 0.744934 0.983887 1.030121 0.872192 0.4776 -0.028839 -0.535889 -0.850983 -0.934601 -0.820465 -0.566101 -0.279083 -0.088348 -0.00473,1
0.032806 0.043182 0.045776 0.04776 0.055542 0.055542 0.061188 0.068665 0.069885 0.067596 0.068359 0.070953 0.064545 0.071106 0.075226 0.08194 0.084839 0.089264 0.078125 0.067596 0.055237 0.050964 0.046539 0.040436 0.044708 0.059204 0.071411 0.079346 0.080566 0.085907 0.078735 0.071259 0.0737 0.071411 0.070343 0.068359 0.070343 0.064697 0.061188 0.051575 0.046539 0.051422 0.056915 0.058136 0.064392 0.069733 0.081024 0.086823 0.088654 0.074005 0.073242 0.07309 0.074768 0.061035 0.04837 0.032349 0.019379 0.013123 0.001221 0.019531 0.046387 0.073853 0.087128 0.079956 0.074005 0.057068 0.044861 0.034943 0.037842 0.03891 0.044098 0.057983 0.057068 0.067749 0.068817 0.071259 0.062256,0
0.058899 0.066376 0.146637 0.349884 0.677338 0.960236 1.062012 0.91217 0.489502 -0.073395 -0.612793 -0.93689 -1.020508 -0.88623 -0.570221 -0.261078 -0.060577,1
0.023041 0.066223 0.075836 0.086365 0.096588 0.097198 0.100708 0.093384 0.073547 0.060883 0.043335 0.037537 0.030975 0.035248 0.046692 0.054626 0.053406 0.057526 0.062256 0.06012 0.063324 0.058899 0.066071 0.069885 0.071564 0.068207 0.065155 0.053711 0.047913 0.048218 0.052948 0.055847 0.057678 0.064392 0.073395 0.072937,0
0.0,0
1e-05 0.036011 0.533447 0.867615 0.956421 0.746002 0.291748 -0.265198 -0.708618 -0.913391 -0.899048 -0.682068 -0.354004 -0.090332 -1e-05,1
0.0,0
1e-05 0.0383 0.079651 0.080566 0.09491 0.163269 0.339355 0.583801 0.771027 0.818634 0.639954 0.252228 -0.216064 -0.594788 -0.758972 -0.752106 -0.572357 -0.319366 -0.101166,1
0.00885 0.055389 0.075684 0.082397 0.083008 0.084229 0.088196 0.085449 0.09201 0.083923 0.08255 0.08316 0.080872 0.082092,0
0.0,0
0.042877 0.087433 0.09491 0.097961 0.102997 0.111237 0.108948 0.111694 0.126343 0.136719 0.128021 0.115356 0.101318 0.082245 0.050201 0.019836 -0.001831 0.0 0.006104 0.015259 0.036011 0.052643 0.066528 0.072021 0.06958 0.071869 0.070343 0.073395 0.077057 0.071716 0.075378 0.075226 0.072937 0.074005 0.076447 0.089417 0.099792 0.098267 0.090485 0.069885 0.052643,0
0.050659 0.060272 0.071411 0.101318 0.190582 0.394287 0.667267 0.863953 0.894928 0.707092 0.303955 -0.182343 -0.564575 -0.746307 -0.776367 -0.656433 -0.405884 -0.163574,1
0.017242 0.216217 0.444946 0.571289 0.542603 0.408325 0.199738 -0.005035 -0.050659,0
0.0,0
0.035553 0.059204 0.079346 0.116272 0.156555 0.174255 0.186615 0.169525 0.114136 0.051422 -0.001068 -0.016479,0
0.056 0.048218 0.005341 -0.032196,0
-0.107117,0
0.041504 0.063934 0.074005 0.079803 0.081024 0.083771 0.080109 0.077667 0.070953 0.060883 0.056915 0.057526 0.05661 0.054016 0.06012 0.064545 0.062866 0.064392 0.066376 0.069122 0.071106 0.07019 0.072327 0.075836 0.071259 0.072327 0.068054 0.066528 0.068207 0.069427 0.070648 0.075378 0.07431 0.074921 0.080261 0.076141 0.080109 0.080109 0.07843 0.075684 0.066223 0.066376 0.063324 0.063019 0.067749 0.072784 0.075989 0.075684 0.077057 0.082703 0.085297 0.083923 0.09079 0.089264 0.097656 0.091858 0.08255 0.066986 0.073547 0.060577 0.048523 0.04303 0.050507 0.047302 0.044403 0.042419 0.037537 0.036621 0.045776 0.049896 0.053406 0.054626 0.061188 0.059662 0.065765 0.067596 0.064392 0.071106 0.079498 0.084076 0.104065 0.13031 0.142365 0.147858 0.128479 0.085754 0.036163 -0.004883 -0.016785 -0.014343 -0.007172 0.022278 0.041504 0.052032 0.054779 0.06073 0.069122 0.066681 0.061951 0.063934 0.059967 0.055542 0.052795 0.058594 0.060272,0
0.056 0.061188 0.062561 0.065308 0.077972 0.168762 0.409393 0.827179 1.208954 1.330872 1.159058 0.728912 0.111389 -0.551605 -1.034241 -1.221619 -1.206665 -0.621185 -1e-05,1
0.0,0
0.0,0
1e-05 0.097961 0.324402 0.627136 1.040344 1.592255 1.763458 1.649475 1.344452 0.465698 -0.595551 -1.51123 -1.839142 -1.776123 -1.568451 -1.200409 -0.423126 -0.052643 -1e-05,1
0.0,0
0.0,0
0.0,0
0.06424 0.092773 0.092468 0.098724 0.100098 0.100098 0.09491 0.091095 0.094452 0.095367 0.099487 0.102081 0.111694 0.111847 0.109863 0.104523 0.093231 0.09079 0.082703 0.08606 0.087738 0.081329 0.076904 0.072632 0.070648 0.0737 0.07843 0.077972 0.080109 0.083313 0.088501 0.08606 0.078583 0.079498 0.071716 0.071259 0.059814 0.051422 0.047607 0.049286 0.056305 0.061646 0.061493 0.066681 0.065308 0.069733 0.076141 0.080872 0.084686 0.074463 0.06424 0.061035 0.055237 0.054016 0.053864 0.06134 0.060883 0.066376 0.0737 0.077209 0.072174 0.080414 0.083313 0.080719 0.070496 0.072021 0.072021 0.069885 0.070343 0.067444 0.067444 0.066528 0.063934 0.066681 0.063171 0.063324 0.067291 0.075989 0.076294 0.08728 0.085907 0.082092 0.07309 0.070801 0.065918 0.065308 0.064392 0.074005 0.078278 0.072174 0.067902 0.064545 0.070496 0.07309 0.079803 0.08255 0.084534 0.079498 0.063782 0.04776 0.030365,0
0.110474 0.161285 0.104065 0.00946 -0.002441,0
0.190887 0.505829 0.798645 0.983887 0.761261 0.155029 -0.418091 -0.661469 -0.722504 -0.620728 -0.326996 -0.069885,1
0.046082 0.081482 0.07431 0.061798 0.053711 0.045471 0.049286 0.061188 0.0737 0.07782 0.07782 0.076141 0.072784 0.083771 0.07431 0.070038,0
0.066681 0.066986 0.124664 0.326996 0.765381 1.291046 1.439667 1.430054 1.099243 0.357361 -0.493927 -1.155396 -1.416779 -1.379395 -1.206512 -0.675812 -0.234985,1
0.001526 0.091553 0.105896 0.088959 0.059967 0.035248 0.033417 0.032043 0.032654 0.022736 0.038147 0.058136 0.067139 0.067291 0.070343 0.069122 0.066376 0.058899 0.054626 0.057373 0.057678 0.069122 0.077057 0.08316 0.069733 0.053711 0.045471,0
0.04303 0.044708 0.04837 0.056458 0.06485 0.065308 0.068054 0.071411 0.077362 0.117645 0.246582 0.530548 0.923615 1.157227 1.172028 0.975952 0.503235 -0.065002 -0.619812 -0.966644 -1.039124 -0.921631 -0.664825 -0.333252 -0.098572,1
0.016327 0.057526 0.070496 0.078583 0.079956 0.080872 0.065918 0.06424 0.062561 0.065002 0.064697 0.061646 0.065002 0.073395 0.083313 0.080109 0.077209 0.071869 0.069885 0.055237 0.04715 0.046387 0.043488 0.047913 0.045319 0.057831 0.056763 0.064087 0.060577 0.06485 0.07019 0.077209 0.080261 0.079956 0.083618 0.091858 0.099792 0.109711 0.102692 0.095062 0.074463 0.042725 0.019073 0.010986 0.013123 0.027161 0.044708 0.054474 0.061951 0.069275 0.070648 0.068512 0.066833 0.067749 0.066223 0.06897 0.07019 0.073547 0.06424 0.062408 0.063019 0.062866 0.063324 0.062408 0.061035 0.059509 0.057678 0.059204 0.056152 0.053864 0.049744 0.047302 0.054016 0.053406 0.059967 0.063019 0.059662 0.066681 0.061493 0.064697 0.057068 0.05722 0.053101 0.055695 0.058746 0.065765 0.063782 0.068054 0.066071 0.060425 0.063477 0.06073 0.053406 0.052948 0.03891 0.039825 0.042419 0.043182,0
0.089111 0.077362 0.068665 0.063782 0.052032 0.055237 0.051727 0.043182 0.041199 0.040436 0.045319 0.047607 0.063629 0.067139 0.079498 0.092621 0.093842 0.102234,0
0.024109 0.05249 0.057068 0.05722 0.046082 0.040131 0.029907 0.029144 0.035553 0.044098 0.054626 0.06485 0.069885 0.072937 0.077209 0.069885 0.067291 0.063782 0.053558 0.054169 0.04776,0
0.045013 0.045624 0.048523 0.053864 0.062103 0.092926 0.208893 0.484772 0.910187 1.210022 1.250458 0.978546 0.407257 -0.284729 -0.863495 -1.16806 -1.189423 -0.909424 -0.509644 -0.188293 -0.018921 -1e-05,1
0.0,0
1e-05 0.040741 0.071411 0.112152 0.28656 0.66864 1.064301 1.221619 1.08429 0.587616 -0.084076 -0.662689 -0.924988 -0.919189 -0.705566 -0.430145 -0.269165 -0.196381 -0.167236 -0.113678 -0.020752,1
0.040436 0.064697 0.066376 0.065613 0.068359 0.06897 0.07019 0.067749 0.067596 0.068665 0.068817 0.072479 0.076141 0.076904 0.078583 0.075836 0.075226 0.073395 0.097809 0.123444 0.175018 0.218506 0.220642 0.182343 0.115814 0.050964 0.006866 -0.01709 -0.023651 -0.016785 -0.013428 -0.018768 -0.023804 -0.018158 0.005951 0.041199 0.057678 0.06424 0.06546 0.074768 0.077209 0.079651 0.084534 0.078125 0.077667 0.063629 0.046234 0.043488 0.040741 0.037384 0.043182 0.053406 0.053406 0.057068 0.062561 0.074158 0.087738 0.100861 0.107574 0.103607 0.098877 0.073242 0.06134 0.042725 0.022125 0.014038 0.016785 0.023346 0.029602 0.04715 0.059204 0.067749 0.068512 0.079498 0.084839 0.06958 0.066376 0.065155 0.060272 0.066376 0.07019 0.082703 0.078278 0.06958 0.059357 0.041504 0.013733 -0.00351 0.007782 0.019684 0.036163 0.0354 0.038147 0.047302 0.054169 0.053101 0.049286 0.047607 0.053711 0.056152 0.062714 0.069885 0.0737 0.081329 0.075836 0.051727 0.038452 0.028687 0.028381 0.019836 0.025635 0.037689 0.044708 0.045624 0.048981 0.052032 0.053864 0.054932 0.061798 0.050201 0.061188 0.053406 0.059357 0.055695 0.058136 0.054169 0.05249 0.055084 0.050354 0.054779 0.046997 0.054474 0.054932 0.057068 0.058746 0.057678 0.049896 0.051727 0.058289 0.059662 0.055389,0
0.049133 0.056458 0.080261 0.202789 0.686646 1.761475 3.295593 4.030762 4.074707 3.544617 1.778717 -0.476532 -2.72171 -4.037476 -4.158173 -3.842926 -2.9039 -1.634827 -0.708771 -0.219421 -0.057678,1
0.003662 0.05661 0.119171 0.158081 0.167542 0.145569 0.111389 0.066223 0.03418 0.008087 -0.004425 0.003662 0.020142 0.043488 0.059204 0.071411 0.078278 0.075378 0.075836 0.0737 0.07782 0.074921 0.073395 0.070953 0.073853 0.079193 0.083466 0.098114 0.120239 0.129852 0.136719 0.137177 0.101776 0.059662 0.028381 0.02121 0.016327 0.025635 0.052338 0.073547 0.083923 0.08194 0.079498 0.079956 0.070038 0.063171,0
0.061035 0.064087 0.066833 0.075226 0.075989 0.093994 0.164032 0.387115 0.867767 1.667023 2.516632 2.928467 2.556 1.391754 -0.057831 -1.142883 -2.152557 -2.401581 -2.182465 -1.624908 -1.157837 -0.423126 -0.129852,1
0.00061 0.069122 0.108032 0.142212 0.140839 0.123901 0.118408 0.096283 0.062714 0.041046 0.021515 0.015564 0.008698 0.019073 0.058289 0.061951 0.069733 0.072021 0.066833 0.07843,0
-0.018005 -0.051422 -0.071106 -0.073242 -0.051575 0.001678 0.041504 0.083771 0.09079 0.101318 0.093231 0.087738 0.07782 0.068512 0.063171 0.065613 0.065002 0.078735 0.088043 0.091705 0.091095 0.06012 0.040283,0
0.050507 0.080109 0.10025 0.108795 0.106506 0.093994 0.06546 0.038605 0.0177 0.014496,0
0.0,0
0.036163 0.055237 0.045624 0.044708 0.045319 0.041046 0.045013 0.043182 0.045776 0.050659 0.054626 0.062714 0.056152 0.053711 0.050049 0.045319 0.043335 0.050354 0.055389 0.057068 0.060577 0.061188 0.06424 0.063477 0.063629 0.06958 0.077667 0.074158 0.076599 0.079956 0.080566 0.084381 0.084686 0.078278 0.066528 0.058594 0.056763 0.048065 0.035553,0
-0.950012 -1.111298 -1.064453 -0.768127 -0.484314 -0.262451 -0.125732 -0.058289 -0.017548 0.027008 0.061951 0.079041 0.089874 0.104523 0.126953 0.145416 0.148926 0.151367 0.145569 0.114899 0.079803 0.047913 0.02182 0.010529 0.004883 0.00946 0.046692 0.109863 0.171051 0.199585 0.193787 0.128174 0.032959 -0.047302 -0.090332 -0.08667 -0.043793 0.007782 0.04303 0.062408 0.075226 0.078583,0
0.057068 0.061035 0.061493 0.056763,0
0.0,0
0.036774 0.042114 0.039368 0.044098 0.04425 0.048218 0.054932 0.056915 0.057068 0.059204 0.056915,0
0.0,0
1e-05 0.387573 0.926971 1.144562 1.077881 0.580444 -0.126495 -0.776062 -1.094666 -1.104431 -0.868683 -0.428314 -0.075989 -1e-05,1
0.0,0
0.003815 0.028381 0.036621 0.039062 0.053558 0.060577 0.064545 0.060883 0.061798 0.065765 0.067139 0.069733 0.066833 0.063782 0.070343 0.069122 0.077362 0.06958 0.069122 0.071259 0.065765 0.066986 0.067596 0.066833 0.066986 0.068207 0.066223 0.072327 0.062408 0.064392 0.071106 0.093994 0.139923 0.164795 0.163422 0.133667 0.077972 0.012665 -0.039368 -0.06424 -0.057068 -0.020142,0
0.031433 0.103607 0.352783 1.051331 2.25708 3.262634 3.567505 3.097382 1.580505 -0.458679 -2.380524 -3.446503 -3.559113 -2.988129 -1.882935 -1.018066 -0.264587 -0.029602,1
0.039825 0.057373 0.065765 0.072784 0.068512 0.071411 0.066376 0.06958 0.064697 0.066376 0.065613 0.066376 0.066223 0.067749 0.068359 0.069733 0.069733 0.075073 0.081177 0.078278 0.072937 0.064697 0.050507 0.04364 0.051422 0.056763 0.065155 0.066986 0.068359 0.069885 0.073395 0.074463 0.070801 0.071411 0.070801 0.066223 0.061798 0.052795 0.051575 0.057678 0.065765 0.067139 0.071259 0.081482 0.103149 0.121613 0.118561 0.112457 0.096436 0.067749 0.025177 0.00351 -0.011902 0.006409 0.016022 0.0177 0.023804 0.040131 0.047302 0.061493 0.055237 0.063629 0.06958 0.070801 0.072784 0.074158 0.068817 0.066223 0.057983 0.045471 0.03891 0.039062,0
0.072632 0.112457 0.111542 0.096436 0.069885 0.045471 0.025024 0.010223 -0.006409 -0.018616 -0.010681 0.003662 0.015106 0.023346 0.028839 0.036316 0.045624 0.049286 0.064697 0.088348 0.090942 0.095673 0.08316 0.06958 0.05249 0.04364 0.041504 0.047455 0.046539 0.050049 0.059357 0.077209 0.088501 0.105438 0.096283 0.070496 0.035553 0.0 -0.014496 -0.010986 0.004883 0.019836 0.040894 0.054321 0.054932 0.059662 0.056763 0.057526 0.053101 0.048523 0.073853 0.158081 0.30426 0.421753 0.438538 0.362854 0.231018 0.10437,0
0.036774 0.049133 0.03952 0.031738 0.018311 -0.003357 -0.010529 -0.024109 -0.043488 -0.038452 -0.025482 -0.019226 -0.007324 -0.000458 0.015564 0.023956 0.037079 0.042419 0.044708 0.046387 0.048676 0.045471 0.050354 0.059967 0.058899 0.065613 0.060577 0.058746 0.060425 0.065002 0.062256 0.060577 0.060272 0.042267 0.02655 0.024414 0.025787 0.037231 0.039978 0.058594 0.072479 0.094604 0.109863 0.113678 0.102692 0.092468 0.070801 0.042114 0.003357 -0.026703 -0.028992 -0.025024 -0.007324 -0.007172 0.004883 0.035095 0.053711 0.058594 0.054932 0.052795 0.059357 0.05722 0.054474 0.055542 0.049133 0.053711 0.045471 0.049133,0
0.0,0
0.042267 0.06546 0.072021 0.064697 0.053711 0.040588 0.048065 0.050964 0.056 0.056458 0.065155 0.065765 0.070801 0.063934 0.060272 0.05661 0.053101 0.054474 0.055695 0.058441 0.059509 0.056 0.053101 0.059662 0.052643 0.057526 0.055695 0.06546 0.065155 0.06485 0.06485 0.06485,0
0.024719 0.044098 0.04837 0.043945 0.043793 0.050507 0.049591 0.054779 0.054016 0.057983 0.054169 0.074463 0.08255 0.079346 0.070801 0.042725 0.022125 0.014801 0.020294 0.037689 0.054626 0.055847 0.057526 0.053101 0.044403 0.046997 0.042114 0.041046 0.048218 0.051575 0.052643 0.06546 0.067444 0.078735 0.083008 0.083771 0.070038 0.06134 0.055389 0.050659 0.050201 0.056152 0.068512 0.076447 0.074463 0.065308 0.053558 0.026703 0.014496 0.005035 0.006714 0.007019 0.019684 0.027924 0.044098 0.052643 0.067291,0
0.004425 -0.000305 -0.001831 0.00412,0
0.003357 -0.001526 -0.000153 -0.000458 0.002899 0.005646 0.006561 0.012665 0.016022 0.010376 0.011444 0.007172 0.004578 0.001221 0.002289 0.007629 0.005493 0.006561 0.009308 0.014343 0.023804 0.027924 0.034332 0.024261 0.015259 0.005798 -0.005646 -0.016632 -0.028381 -0.025482 -0.032654 -0.018463 -0.011597 -0.004578 -0.005035 -0.006561 -0.010681 -0.013275 -0.007935 -0.010376 -0.009155 -0.008087 -0.007629 -0.012665 -0.003967 -0.002289 -0.00473 0.003967 0.000153 0.002594 0.001831 0.00412 -0.002594 -0.005188 -0.003815 -0.00473 -0.007172 -0.00351 -0.004272 -0.008392 -0.001068 0.007477 0.022888 0.038147 0.039215 0.030518 0.019989 -0.007324 -0.035248 -0.054474 -0.06897 -0.069733 -0.041962 -0.016937 -0.001221 0.010681 0.014038 0.012512 -0.00351 -0.015564 -0.038147 -0.044098 -0.042267 -0.030823 -0.023499 -0.018463 -0.012207 -0.005951 -0.006714 -0.007324 -0.007324 -0.004425 -0.005341 -0.007782 -0.007324 -0.009766 -0.007935 0.00412 -0.00473 -0.009918 -0.013428 -0.020142 -0.019836 -0.018768 -0.018463 -0.014496 -0.016174 -0.010223 -0.010376,0
-0.013885 -0.015259 -0.010223 0.0 0.012817 0.023499 0.022125 0.017853 0.003204 -0.006561 -0.015259 -0.015411 -0.003052 0.010376 0.000305 -0.006714 -0.017548 -0.029449 -0.041351 -0.045929 -0.049896 -0.056458 -0.042725 -0.039368 -0.029449 -0.031128 -0.026703 -0.015564 -0.004883 -0.002747 -0.00473 -0.007935,0
0.007477 0.07431 0.221863 0.478973 0.584412 0.507812 0.365906 0.170441 -0.05661 -0.271759 -0.4422 -0.592194 -0.680237 -0.522614 -0.300903 -0.135498 -0.063477 -0.031738 -0.018005 -0.012054 -0.009613 -0.00473,1
0.001831 0.014801 0.031586 0.046387 0.048828 0.033569 0.010376 -0.019531 -0.039062 -0.039215 -0.034332 -0.019379 -0.010071 -0.002899 0.002136 0.002289 0.001678 -0.002289 -0.002899 -0.006104 -0.009308 -0.004425 -0.009918 -0.007324 -0.003357 -0.003967 -0.000458 0.002594 -0.000153 0.001068 0.000916 0.005493 0.012817 0.030823 0.042725 0.044556 0.026245 -0.001678 -0.028076 -0.045624 -0.042114 -0.034485 -0.023193 -0.014496 -0.007019 -0.001831 -0.003662 -0.002747 -0.007782 -0.011292 -0.021515 -0.024261 -0.022278 -0.018311 -0.015106 -0.009766 0.002594 0.014648 0.022583 0.016785 0.011444 0.001831 -0.017853 -0.024719 -0.019989 -0.012665 -0.004272 0.002899 0.002136 -0.004578 -0.016937 -0.027771 -0.027618 -0.025635 -0.027466 -0.022583 -0.020447 -0.018005 -0.014496 -0.011902 -0.012207 -0.009766 0.010986 0.037842 0.075836 0.100555 0.100403 0.064697 0.014191 -0.031433 -0.068817 -0.086212 -0.093689 -0.079193 -0.068817 -0.063324 -0.054474 -0.048828 -0.036774 -0.026703 -0.019379 -0.016327 -0.007782 0.017548 0.037079 0.046082 0.050201 0.032043 0.009613 -0.021667 -0.049591 -0.071869 -0.083618 -0.039673,0
0.128784 0.514526 1.120758 1.402893 1.431885 1.289062 0.649109 -0.137482 -0.934601 -1.479797 -1.526337 -1.437378 -1.195831 -0.556335 -0.223846 -0.083923 -0.046539,1
-0.047913 -0.043793 -0.044861 -0.039062 -0.023346 -0.012207 -0.001678 -0.002136 0.003052 0.009155 -0.003357 0.0 -0.006104 -0.005493 -0.010529 -0.013885 -0.014801 -0.01297 -0.00885 -0.005493 -0.007782 -0.00351 -0.001373 -0.003052 -0.01297 -0.012207 -0.01297 -0.017548 -0.007477 -0.005798 0.000305 -0.000153 -0.003815,0
-0.008545 0.001068 0.005646 0.005035 0.00885 0.006714 -0.001678 -0.004425 -0.010529 -0.011292 -0.020752 -0.019226 -0.018158 -0.009766 -0.002136 -0.005188,0
0.029449 0.041809 -0.022125 -0.111694 -0.191803 -0.222473 -0.206909 -0.148773 -0.0737 -0.025787 -0.011749 -0.012207 -0.01709 -0.023651 -0.024719 -0.026398 -0.02121,0
0.013123 0.135345 0.385742 0.694427 0.895081 0.882111 0.600586 0.115509 -0.383759 -0.776825 -0.916901 -0.828705 -0.5513 -0.289917 -0.127716 -0.07431 -0.073853 -0.065155 -0.064392 -0.05249 -0.041351 -0.026855 -0.009003 0.0 0.006104 0.022583 0.108337 0.361938 0.858307 1.417389 1.751862 1.67099 1.059875 0.13092 -0.678101 -1.174164 -1.568451 -1.432037 -1.195068 -0.638733 -0.314331 -0.134583 -0.045776 -0.015717 -0.002441 -0.001678,1
-0.00351 0.000763 -0.001373 -0.003357 -0.009003 -0.013885 -0.015411,0
0.0,0
0.005798 0.010376 0.009003 0.002136 -0.004425 -0.018005 -0.017548 -0.016327 -0.007172 -0.005798 0.001526 0.004272 0.026855 0.050964 0.077667 0.105591 0.193787 0.370789,0
-0.078735 -0.072784 -0.04715 -0.026093 -0.008698,0
0.010986 0.055542 0.188599 0.450439 0.725555 0.877075 0.826569 0.525818 0.063934 -0.374603 -0.635223 -0.636139 -0.454102 -0.243225 -0.050964,1
0.048676 0.019073 -0.085449 -0.206299 -0.30838 -0.383759 -0.42572 -0.362244 -0.225372 -0.109711 -0.033875 -0.011597 0.004883 0.005035 0.003662 -0.000305 0.000458 -0.006714 -0.009613 -0.013885 -0.009308 -0.011902 -0.00824 -0.006409 -0.001221 -0.003815 -0.001221 -0.005035 -0.001221 0.005951 0.005341 0.007172 -0.001373 -0.00351 -0.006104 -0.007935 -0.006409 -0.001831 -0.004272 -0.007172 -0.014038 -0.011902 -0.015259 -0.005188 0.004425 0.019531 0.028839 0.036316 0.035553 0.023956 0.004883 -0.011292 -0.03006 -0.034637 -0.034637 -0.026093,0
0.009766 0.067749 0.123291 0.137177 0.108337 0.023041 -0.071411 -0.132751 -0.145111 -0.111084 -1e-05,1
0.0,0
1e-05 0.000916 0.173035 0.338898 0.378418 0.315247 0.213623 0.083618 -0.066071 -0.207672 -0.32547 -0.406036 -0.426178 -0.323792 -0.185242 -0.076447 -0.023956 -0.004883,1
-0.006714 -0.00946 -0.007477,0
0.018463 0.115967 0.315094 0.542755 0.64209 0.571442 0.350494 0.019531 -0.307312 -0.550232 -0.670319 -0.632629 -0.440826 -0.23407 -0.088043 -0.028534 -0.003052,1
0.001831 0.00061 -0.002747 -0.005341 -0.008545 -0.00473 0.001068 -0.000305 0.009308 0.004883 -0.005341 -0.014343 -0.020447 -0.022736 -0.023651 -0.024261 -0.027924 -0.029297 -0.023193 -0.023804 -0.02243 -0.019531 -0.006714 0.011292 0.030823 0.044861 0.044556 0.007935 -0.021057 -0.040588 -0.048828 -0.050201 -0.049133 -0.043335 -0.029297 -0.010681 0.003052 -0.002899 -0.000763 -0.014191 -0.026855 -0.039978 -0.037384 -0.031433 -0.026855 -0.02121 -0.014496 -0.010834 -0.007019 -0.009308 0.001068 0.007477 0.020447 0.037689 0.045166 0.039825 0.016479 -0.025177 -0.056458 -0.080719 -0.081635 -0.068817 -0.051117 -0.029449 -0.009155 0.002441 0.021515 0.033264 0.046234 0.049133 0.05188 0.054169 0.057678 0.055542 0.042267,0
0.034943 0.125122 0.402527 0.992432 1.574554 1.675262 1.645508 1.230927 0.326233 -0.59906 -1.559296 -1.898041 -1.830444 -1.640625 -1.201935 -0.532074 -0.205383 -0.072937 -0.037231 -0.004578 -1e-05,1
0.0,0
0.0,0
