value_sequence,finalLabel
-0.026855 -0.020447 -0.023804 -0.013733 0.009613 0.0354 0.056152 0.067444 0.071259 0.028839 -0.024567 -0.075989 -0.120087 -0.131989 -0.141144 -0.124512 -0.093231 -0.051575 -0.022736 -0.001221 0.005493 0.007477 0.002594 -0.011139 -0.03418 -0.056763 -0.069275 -0.0737 -0.076141 -0.07309 -0.05661 -0.04303 -0.03418 -0.028687 -0.028992 -0.027618 -0.032959 -0.028687 -0.03067 -0.026093 -0.028534 -0.031586 -0.03006 -0.030518 -0.029449 -0.030212 -0.038757 -0.03479 -0.030823 -0.025787 -0.023346 -0.018768 -0.017853 -0.026398 -0.028992 -0.037079 -0.045776 -0.048218 -0.057068 -0.053558 -0.048676 -0.044708 -0.035248 -0.03067 -0.031433 -0.024414 -0.024567 -0.026703 -0.022888 -0.030823 -0.028229 -0.027161 -0.018921 0.009003 0.040436 0.056152 0.056915 0.032501 -0.015869 -0.074158 -0.123749 -0.13443 -0.130768 -0.118408 -0.081635 -0.060272 -0.041504 -0.037537 -0.032501 -0.033417 -0.029144 -0.038757 -0.034332 -0.034485 -0.037994 -0.032654 -0.034943 -0.039062 -0.043945 -0.041656 -0.036621 -0.030975 -0.025482 -0.023041 -0.024109 -0.023956 -0.037079 -0.042419 -0.042267 -0.039368 -0.038452 -0.028687 -0.033722 -0.031128 -0.036011 -0.036316 -0.038757 -0.037384 -0.041046 -0.036621 -0.031586 -0.030823 -0.021362 -0.020447 -0.019989 -0.034027 -0.032196 -0.032959 -0.036621 -0.03067 -0.03067 -0.033569 -0.029907 -0.023193,0
0.018005 0.137482 0.349121 0.636292 0.853729 0.935822 0.832672 0.532837 0.103302 -0.34256 -0.718536 -0.967102 -1.038666 -0.947571 -0.713196 -0.455933 -0.247955 -0.121155 -0.068207 -0.053864 -0.043945 -0.043182 -0.036011 -0.032196 -0.029602 -0.026093 -0.026093,1
-0.028687 -0.02243 -0.029602 -0.031586 -0.029755 -0.039825 -0.037842 -0.037231 -0.033264 -0.035248 -0.040131 -0.030212 -0.03067 -0.031433 -0.030212 -0.032043 -0.032349 -0.031738 -0.028839 -0.029602 -0.030823 -0.022278 -0.012054 0.000153 0.003967 0.002899 -0.007019 -0.018463 -0.034637 -0.047302 -0.061493 -0.073395 -0.072327 -0.069885 -0.064545 -0.056305 -0.049438 -0.04364 -0.03891 -0.036621 -0.037384 -0.034332 -0.029602 -0.019379,0
-0.055084 -0.067596 -0.083313 -0.065613 -0.022888,0
-0.022888 -0.024567 -0.030823 -0.038605 -0.036621 -0.037689 -0.034485 -0.037842 -0.023804 -0.022888 -0.015869 -0.011292 -0.00412 -0.001526 -0.000458 -0.010529 -0.019836 -0.034485 -0.040131 -0.044403 -0.048828 -0.053711 -0.047302 -0.045471 -0.037537 -0.032806 -0.030823 -0.028534 -0.018616 -0.000458 0.016785 0.02655 0.019073 0.00946 -0.003662 -0.020294 -0.041504 -0.055237 -0.064697 -0.067139 -0.066986 -0.053406 -0.045166 -0.028534,0
0.0,0
0.0,0
1e-05 0.067139 0.260773 0.64682 1.168365 1.517181 1.600189 1.502838 1.091919 0.390472 -0.324249 -0.99884 -1.582794 -1.708374 -1.595306 -1.305542 -0.862122 -0.446167 -0.182343 -0.052185 -0.009003 -0.00473 -0.004578,1
-0.010071 -0.021515 -0.026245 -0.024261 -0.021057 -0.020142 -0.019531 -0.018616 -0.016937 -0.016479 -0.013733 -0.0177 -0.015717 -0.008698 -0.011292 -0.017548 -0.016327 -0.015411 -0.015869 -0.016785 -0.013123 -0.012054 -0.00946 -0.016937 -0.016785 -0.018311 -0.02243 -0.019531 -0.019989 -0.019379 -0.015106,0
0.002594 0.057678 0.198669 0.40741 0.587463 0.670471 0.625305 0.407104 0.054626 -0.316925 -0.589447 -0.709991 -0.716095 -0.611877 -0.422821 -0.231018 -0.110016 -0.049591 -0.028534 -0.012054 -0.009003 -0.007019,1
